skill_id	skill_desc
176	CRISC
177	CISM
178	CRCM
179	CIPP
180	ABA Risk Management Certification
181	Compliance
182	Legal
183	Regulatory
184	Operations
185	Cybersecurity
186	Data Loss Prevention (DLP)
187	Web Proxy
188	Email
189	Endpoint Solutions
190	Symantec Data Loss Prevention (DLP)
191	Agile Delivery
192	Public Cloud Security
193	MultiCloud Environments
194	IT Delivery Projects
195	JIRA
196	Cloud Certifications (AWS)
197	Security Certifications (CISSP)
198	Computer Science
199	Systems Engineering
200	Software Development Practices
201	Platform Engineering
202	Problem solving
203	Data analysis
204	Predictive analysis
205	Trend identification
206	Performance monitoring
207	Financial risk management
208	Business process analysis
209	Visio
210	Smartsheet
211	SNOW
212	SAP
213	Power BI
214	Leadership
215	Bachelor's degree
216	Professional certification
217	Graduate degree
218	System Design
219	Multimodal Input
220	Prototyping
221	Data Management
222	Scalability
223	Reliability
224	Performance
225	Distributed Systems
226	Infrastructure Design
227	Complex Systems
228	Software Engineering
229	ML Pipeline Automation
230	ML Workflows
231	ML Systems
232	Database Administration
233	Advanced Statistical Analysis
234	Forecasting Techniques
235	Data Abnormalities Detection
236	Contact Workforce Management
237	Crossfunctional Collaboration
238	Performance Analytics
239	Root Cause Analysis
240	Forecasting and Scheduling
241	Service Level Management
242	Hindsight Analysis
243	Business Communication
244	Problemsolving
245	Decisionmaking
246	ACD
247	BackOffice Work Routing
248	WFM Software
249	Bachelor's degree in business accounting finance statistics or economics
250	Master Data Analyst
251	Data/Master Data Experience
252	Polished People/Senior Stakeholder Engagement
253	Data Ingestion Pipelines
254	Business Process Workflow
255	Data Matching & Deduplication
256	Standardization
257	SemiAgile Delivery Framework
258	MDM Strategies
259	MDM Policies
260	MDM Functional Implementation
261	MDM Requirement Analysis
262	Deterministic Matching
263	Probabilistic Matching
264	Master Data Hierarchy Management
265	HighLevel Design
266	Data Scorecard Development
267	Exception Management
268	LargeScale MDM Project Implementation
269	Thought Leadership
270	Data Quality Analysis
271	Data Governance Policies
272	ETL Flows
273	SourcetoTarget Mapping
274	Requirements Gathering
275	Agile/Waterfall SDLC
276	Time Management
277	Analytical Skills
278	Informatica MDM/DG
279	SAP MDM
280	Data Enrichment
281	Dun & Bradstreet
282	Corporate Law
283	Private Equity
284	Venture Capital
285	M&A
286	Securities Law
287	SEC Periodic Reporting
288	Stock Exchange Rules
289	Corporate Governance
290	Capital Raising
291	Mergers and Acquisitions
292	Equity Offerings
293	Debt Offerings
294	Banking and Finance
295	Litigation
296	Collaborative Environment
297	Exchange Regulations
298	AWS
299	DBA case tools
300	SQL programming
301	Scripts
302	Structured query language
303	Algorithmic thinking
304	Programming languages API
305	Data backup
306	Data recovery
307	Data security
308	Data integrity
309	Database standards
310	End user applications
311	Database design
312	Database documentation
313	Database coding
314	Attention to detail
315	Interpersonal skills
316	Machine Learning Operations (ML Ops)
317	Engineering
318	Evaluation Experimentation
319	Monitoring Processes
320	ETL Pipelines
321	LLMs
322	NLP
323	Reinforcement Learning
324	Probabilistic Graphs
325	Deep Learning
326	Autonomy
327	Flexibility
328	Teamfirst Mentality
329	Mentoring
330	NYCbased
331	Hiring
332	Financial Workflows
333	Product Ownership
334	Data Analytics
335	Data Modelling
336	Data Pipeline Design
337	ETL (Extract Transform Load)
338	Data Lake
339	Data Strategy
340	Data Governance
341	Advanced Statistics
342	Team Leadership
343	Business Requirements Gathering
344	Data Security
345	Full UK Driving Licence
346	Statistical Techniques
347	Data Mining
348	Data Quality Management
349	Data Processing
350	A/B Testing
351	Hypothesis Testing
352	ETL Processes
353	DataDriven Decision Making
354	Hardware Validation
355	ML/AI Frameworks
356	Test Execution
357	Automation Development
358	Debugging
359	GPU
360	HighPerformance Computing
361	Linux
362	C/C++
363	Schematics
364	Circuit Design
365	Data Traffic Management
366	Electrical Laboratory Equipment
367	Computer Architecture
368	Processors
369	Interconnects
370	Firmware
371	ML/AI Models
372	Workloads
373	Data governance
374	Data lineage
375	Data interdependencies
376	Data standards
377	Data consistency
378	Governance rules
379	Governance controls
380	Data quality
381	Data analytics
382	Business intelligence
383	Data lakes
384	Data gaps
385	Data flows
386	Data catalogues
387	Relational databases
388	Data transformations
389	Data mappings
390	Data modelling
391	Data findings
392	Data recommendations
393	Data consolidation
394	Agile Product Owner
395	Healthcare IT systems
396	Electronic Medical Record systems
397	EDW
398	Data Maturity Model
399	Data modernization
400	Data stewards
401	Dashboards
402	Data assets
403	Data feeds
404	Data privacy
405	Data governance policies
406	Data governance meetings
407	Third party data
408	First party data
409	Derivative data
410	Second party data
411	Product backlog
412	Product development
413	Product stakeholders
414	Health Informatics
415	Public Health
416	Data Science
417	Epidemiology
418	Biostatistics
419	Public Policy
420	Health Policy
421	Health Services Research
422	Health Information Sciences
423	Data governance efforts
424	Data sharing projects
425	Enterprisewide data governance
426	Data maturity models
427	Health and human services
428	SSIS
429	Windows
430	PowerShell
431	SQL DBA
432	System Utilities
433	Debugging Tools
434	Monitoring Tools
435	Corporate Database Standards
436	Strategic Database Technologies
437	Data Management Principles
438	Data Management Techniques
439	Information Systems
440	Revenue Cycle
441	Healthcare Data Analysis
442	Epic Clarity Reporting
443	Analytic Methods
444	Statistical Methods
445	Agile Development
446	Technical Abilities
447	Epic Revenue Cycle Certification
448	Certified Health Data Analyst (CHDA) certification
449	Bachelor of Science degree
450	4+ years of relevant experience
451	2+ years of data analysis in healthcare
452	Strong grasp of analytic and statistical methods
453	Clinical Experience
454	Excellent written and oral communication skills
455	Excellent organizational and analytical skills
456	Strong technical abilities
457	Data Architect
458	Data Infrastructure
459	AWS S3
460	AWS EMR
461	GraphQL API
462	DataFocused Programming Languages
463	Petabytes of Data
464	Bachelor's Degree
465	Master's Degree
466	AWS Certified Cloud Data Engineer
467	ETL Systems
468	ELT Systems
469	Data engineering
470	Data science
471	Data processing
472	Data pipelines
473	Data visualizations
474	Machine learning
475	Software engineering
476	Hadoop Distributed File System (HDFS)
477	Presto
478	Ansible
479	Docker
480	Kubernetes
481	Jupyter Notebooks
482	Pandas
483	Bokeh
484	Superset
485	Airflow
486	Statistics
487	Problemsolving skills
488	ADLS
489	Databricks
490	Stream Analytics
491	SQL DW
492	COSMOS DB
493	Analysis Services
494	Azure Functions
495	Serverless Architecture
496	ARM Templates
497	SparkSQL
498	Kafka
499	Postgres
500	Cassandra
501	Azkaban
502	Luigi
503	Storm
504	Helm
505	pySpark
506	TDD
507	Pair Programming
508	Continuous Integration
509	Automated Testing
510	Deployment
511	StreamProcessing Systems
512	SparkStreaming
513	Dimensional Data Modeling
514	Schema Design
515	Data Warehouses
516	Data Management Tools
517	Data Retention
518	Data Lifecycle Management
519	File System Management
520	Network Share Management
521	Project Folder/File Structure Creation
522	Network Share/File/Folder Permissions Management
523	Large Data Set Migration
524	Legacy to Modern Systems Data Transfer
525	NonHomogenous File/Directory Structures Data Integration
526	Microsoft Distributed File Systems
527	Windows Server OS Administration
528	Microsoft Office 365
529	Active Directory
530	Granular NTFS File Permissions
531	Windows File ACLs
532	NFS Shares
533	CloudBased Storage Systems
534	Microservices
535	Full Stack Development
536	Cloud Computing (AWS Microsoft Azure Google Cloud)
537	Programming Languages (Python Go)
538	AWS Tools and Services
539	Data Compliance
540	Technical Problem Solving
541	Agile Practices
542	People Management
543	Open Source Frameworks (Airflow Spark Presto Snowflake)
544	Senior Architect
545	Product Line
546	Design
547	Strategy
548	Presentation Skills
549	Business Acumen
550	Math
551	Security Clearance
552	Washington DC
553	Variable Cost Productivity
554	Costbenefit Analysis
555	Return on Investment Analysis
556	Product Configuration Management
557	Locally Sourced Items
558	LEAN
559	Six Sigma
560	ISO
561	CFDA
562	HTML
563	CSS
564	JavaScript
565	Agile
566	Distributed Microservices
567	Microsoft Azure
568	Google Cloud
569	Open Source RDBMS
570	Cloudbased Data Infrastructure
571	Hive
572	EMR
573	Gurobi
574	MySQL
575	Agile Engineering Practices
576	Artificial intelligence
577	Data management
578	Data visualization
579	Data mining
580	Pytorch
581	Tensorflow
582	Model building
583	Team Management
584	Data Systems Improvement
585	Decision Making
586	Team Work
587	Annual Leave
588	Benefits
589	Performance Bonus
590	Pension Scheme
591	Life Assurance
592	Colleague Discount
593	Training
594	DAX
595	TransactSQL
596	OLTP
597	OLAP
598	Data Structures
599	Data Integrity
600	Software Development Lifecycle
601	Security
602	Privacy
603	Interpersonal Skills
604	Critical Thinking
605	Problem Solving
606	Initiative
607	Prioritization
608	DoD 8570
609	SECNAV 5239.2
610	Secret Clearance or ability to obtain
611	Bachelor's degree in Computer Science Information Systems or Computer Engineering
612	4 years related experience
613	3+ years of BI development using Power BI or equivalent tool
614	3+ years of SQL and databases
615	3+ years of Excel experience
616	Knowledge of ETL/ELT techniques and methodologies along with best practices
617	Exceptional analytical critical thinking and problemsolving abilities
618	Highly selfdirected
619	Takes initiative
620	Can work independently while being a strong contributor to a team
621	Effective prioritization and time management skills
622	Can thrive in a dynamic environment in which priorities might change frequently
623	Excellent communication and interpersonal skills
624	Strong documentation and presentation skills
625	Work requires CSWF certification
626	Security+ or CISSP
627	DLP Controls
628	SaaS
629	IaaS
630	Information Security Policy
631	Standards
632	Web proxy
633	Email solutions
634	Endpoint solutions
635	Technical initiatives
636	Enterprise cybersecurity
637	Technical delivery
638	Product security
639	Software development practices
640	Platform engineering
641	Investigating
642	Configuring
643	Supporting
644	Data protection
645	High School Diploma
646	GED
647	Information technology
648	Agile delivery model
649	Public cloud security
650	Multicloud environments
651	CISSP
652	GIAC
653	CCSP
654	CISA
655	Security+
656	AWS Cloud Practitioner
657	AWS Solution Architect  Associate
658	AWS Developer  Associate
659	AWS Security  Specialty
660	AWS Solution Architect  Professional
661	McLean VA
662	Performancebased incentive compensation
663	Health
664	Financial benefits
665	Capital One Careers website
666	Equal opportunity employer
667	Diversity and inclusion
668	Accommodation during the application process
669	Technical support
670	Recruiting process
671	Statistical Analysis
672	SAS
673	Simulation Modeling
674	AgentBased Modeling
675	Dynamic Modeling
676	Discrete Event Modeling
677	Health Economics
678	Healthcare
679	Large Language Models
680	Longitudinal Surveys
681	Statistical Programming
682	Medicare
683	Medicaid
684	Marketscan Data
685	Quantitative Analysis
686	U.S. Citizenship
687	Data Standards
688	Data Synthesis
689	Source System Analysis
690	Metadata Management
691	RedShift
692	Confluence
693	Draw IO
694	Collibra
695	Communicating between Technical and NonTechnical Subjects
696	Engaging Collaboratively with Stakeholders
697	Leading Process Development
698	Evaluating Existing Data Systems
699	Providing Comprehensive Documentation
700	Championing Opportunities for Enhancing Current Data Architecture
701	Designing Data Architecture that Deals with Problems Spanning Different Business Areas
702	Identifying Similarities between Problems to Devise Common Solutions
703	Understanding the Impact on the Organisation of Emerging Trends in Data Tools Analysis Techniques and Data Usage
704	Working within a Strategic Context and Communicating How Activities Meet Strategic Goals
705	PySpark
706	Legal Compliance
707	Data Quality Manager
708	Data Quality Standards
709	Data Quality Framework
710	Data Quality KPIs
711	Data Council
712	Data Owners
713	Data Stewards
714	Data Quality Issues
715	Data Quality Initiatives
716	Microsoft Purview
717	Data Quality Rules
718	Data Quality Processes
719	Data Quality Procedures
720	Data Quality Mindset
721	Best Practices
722	Analytical Abilities
723	Collaboration Skills
724	SelfStarter
725	Information Management
726	Data Quality Concepts
727	Data Quality Methodologies
728	Data Quality Frameworks
729	Data Quality Tools
730	Competitive Salary
731	Development Opportunities
732	Event Day Tickets
733	Internal Events
734	Free Lunches
735	Free Private Medical Cover
736	Contributory Pension Scheme
737	Additional Thank You Days
738	Volunteering Days
739	Hybrid Working Model
740	Remote Work
741	Fixed Location
742	Wembley Stadium
743	St. George's Park
744	Processing Centre
745	Homebased Contract
746	Deep learning
747	Computer vision
748	Object detection
749	Git
750	Automotive AI
751	Medical device
752	Algorithm optimization
753	Ontology
754	Linked Data
755	SPARQL
756	Graph Databases
757	JSON
758	OpenAPI/YAML
759	AVRO
760	Prota
761	TopQuadrant
762	PoolParty
763	Stardog
764	AnzoGraph
765	Neptune
766	Data.World
767	Agile Principles
768	Processes
769	Methodologies
770	Amazon Web Services
771	DetailOrientation
772	Reading Comprehension
773	Writing Skills
774	Exploratory Analysis
775	Predictive Analysis
776	Artificial Intelligence
777	Microsoft Office (Power BI)
778	MultiINT Analytics
779	Automated Predictive Analytics
780	TS/SCI
781	12+ Years of Experience
782	5+ Years of Related Experience
783	Master Data Management
784	AWS services
785	Data validation
786	Data cleansing
787	Data enrichment
788	Agile Scrum SDLC
789	Integration testing
790	User acceptance testing
791	Apache Spark
792	AWS Glue
793	Data Lakehouse architecture
794	OpenSearch
795	Amazon S3
796	Amazon Redshift
797	Tika
798	ElasticSearch
799	NoSQL databases
800	AWS Lambda
801	SQS
802	NiFi
803	Database Platform Operations
804	Microsoft SQL Server
805	Sybase ASE
806	MongoDB
807	Unix / Linux
808	Bash
809	PLSQL
810	Clustering
811	HighAvailability
812	Replication
813	Disaster Recovery
814	Backup and Recovery
815	SQL and Systems Performance Tuning
816	Network Optimization
817	Storage Optimization
818	Server Optimization
819	Virtualisation
820	Logical and Physical Database Design
821	CIS Security Hardening
822	Security and Auditing
823	AWX / Ansible Tower
824	Terraform
825	TeamCity
826	Serena Deployment Automation (SDA)
827	Jenkins
828	Infrastructure as Code
829	Continuous Integration (CI)
830	Continuous Development (CD)
831	Site Reliability Engineering
832	LDAP
833	Kerberos
834	BMC ControlM
835	Oracle Cloud Control
836	IBM Tivoli / Netcool
837	Oracle ODA
838	Nutanix HCI
839	VMWare ESX
840	Networking Protocols (TCP/IP DNS DHCP VLANΓÇÖs)
841	PaaS
842	GCP
843	GDPR
844	SOX
845	Dell EMC PowerStore (SAN)
846	Isilon (NAS)
847	Rubrik
848	EMC Networker
849	Data Domain
850	IBM Tivoli Storage Manager
851	CyberArk
852	Splunk
853	Qualys
854	Cisco Tetration
855	ServiceNow
856	Pressure Handling
857	ProblemSolving Skills
858	ResultsDriven
859	Proactive Approach
860	Motivation
861	Urgency Management
862	Structured Approach
863	Logical Approach
864	Performance Under Pressure
865	Conflict Management
866	Large Workload Management
867	Tight Deadline Management
868	Complex Technical Communication
869	Diversity and Inclusion
870	Statistical Models
871	Analytics Environment
872	Problem Solving Skills
873	Bachelor's Degree in Computer Science Computer Information Systems Mathematics Statistics or Economics
874	Experience in a Consumer Packaged Goods Company
875	Electrical project management
876	Building Electrical systems
877	Electrical Distribution
878	Emergency Generators
879	Uninterruptible Power Supplies (UPS)
880	High/Medium/Low voltage applications
881	Heating Ventilation Air Conditioning Plumbing
882	Critical Water systems
883	Fire/Life Safety Protection Systems
884	Root cause analysis
885	Computerbased estimating
886	OSHA Certification
887	College degree
888	JourneymanΓÇÖs license
889	Master electricianΓÇÖs license
890	Strong communication skills
891	Organizational skills
892	Teamwork skills
893	Real Time API design
894	Cloud native platforms
895	Serverless computing
896	High performance computing
897	Data Mesh
898	Data Fabric
899	Multitenancy
900	Data platform strategies
901	Operational platforms
902	Distributed operational systems
903	Resilience
904	High availability
905	Data cleaning
906	Data transformation
907	Recruiting
908	At least 7 years experience
909	At least 8 years experience
910	At least 10 years experience
911	Remote work
912	IQA Award
913	IT industry qualification (Level 4 or above)
914	Handson experience in IT/Data sector
915	Level 4 teaching qualification (or willingness to pursue one)
916	Understanding of Ofsted EIF
917	Coaching and guidance
918	Performance reviews
919	Observation
920	Corrective actions
921	Performance management
922	Quality assurance
923	Targets/KPIs
924	Strategy implementation
925	Quantitative Field
926	Technical Leadership
927	Interdisciplinary Collaboration
928	Execution and Velocity
929	Research and Statistical Depth
930	Scalable Design
931	Mentorship and Development
932	Forecasting Systems
933	Marketplace Dynamics
934	Experimental Design and Analysis
935	Stakeholder Alignment
936	Metric Frameworks
937	Hybrid Work
938	Pay and Benefits
939	Cybersecurity law
940	Contract law
941	Legal compliance
942	Nondisclosure agreements
943	Sales and purchasing agreements
944	Distributor/reseller agreements
945	Supply agreements
946	Marketing and other service agreements
947	Commercial contracts
948	Employment law
949	Antitrust
950	Intellectual property
951	Export control
952	Environmental regulations
953	Diversity equity and inclusion
954	Multitasking
955	Travel
956	Spanish
957	Portuguese
958	Law school graduation
959	California law practice admission
960	612 years corporate law department or law firm experience
961	Law
962	P&C Insurance
963	Big Data
964	Orchestration
965	AI
966	Bachelor's or Master's degree in Computer Science Data Engineering or a related field from an accredited college or university
967	Proven handson experience with Snowflake SQL Talend AWS and big data technologies
968	Indepth knowledge of the Property and Casualty (P&C) insurance domain
969	Experience leading and managing data engineering teams
970	Strong communication skills with the ability to collaborate effectively across departments
971	Certifications in Snowflake Talend AWS or related technologies
972	Familiarity with data governance security and compliance standards
973	Infrastructure
974	DBXUC
975	DataOps
976	Resource Optimization
977	Cost Management
978	Pipeline Monitoring
979	Alerts
980	Failure Resolution
981	Data Flow
982	Logic Apps
983	Access Management
984	Logic Apps failures
985	APM Configuration
986	Top Secret Security
987	Configuration Management
988	Change Control
989	Technical Review Boards
990	Physical Configuration Audits
991	Functional Configuration Audits
992	IT Configuration Management
993	Software Configuration Management
994	Hardware Configuration Management
995	Firmware Configuration Management
996	Peripheral Configuration Management
997	Data Requirements
998	Contract Data Requirements List (CDRL)
999	Data Calls
1000	Data Requirements Review Boards (DRRBs)
1001	Statement of Work (SOW)
1002	Statement of Objectives (SOO)
1003	Performance Work Statement (PWS)
1004	Department of Defense (DoD)
1005	DoDI 5230.24
1006	DODD 5230.25
1007	DoD 5010.12M
1008	DoD 5000.02R
1009	DFARS 252.2277013
1010	DFARS 252.2277014
1011	ASSIST Database
1012	MS Office Suite
1013	Baseline Management
1014	Version Control
1015	Data Duplication
1016	Media Labeling
1017	Release Notes
1018	CM Reports
1019	Change Control Documentation
1020	Baseline Administrative Activities
1021	Briefings
1022	Software Development Life Cycle
1023	Database Management
1024	US Citizenship
1025	Program management
1026	Data Center
1027	DMZ
1028	B2B
1029	VOR
1030	Building Networking solutions
1031	Wireless LAN
1032	Structured Cabling
1033	Cable Systems
1034	Pathways
1035	Public transport systems
1036	Private transport systems
1037	WAN
1038	Optical systems
1039	SwitchedEthernet
1040	LTE
1041	SDWAN
1042	Cloud
1043	Virtualized services
1044	Network Appliance
1045	Video
1046	Voice
1047	Voice over IP (VoIP)
1048	UC
1049	Collaboration services
1050	Jira
1051	LeanAgile
1052	Scrum
1053	Kanban
1054	SAFe Agile methodologies
1055	Change Management
1056	Service Delivery
1057	PMP
1058	ITIL
1059	CCNA
1060	Decision making
1061	Strategic thinking
1062	Business results
1063	Ownership
1064	Influence
1065	Organization
1066	Detail orientation
1067	Technical acumen
1068	Partnership
1069	Automation
1070	Process improvement
1071	Financial services
1072	Insurance
1073	Banking
1074	Investment banking
1075	Nimble
1076	Flexible
1077	Proactive
1078	Reactive
1079	Data extraction
1080	Data reporting
1081	Epic Clarity reporting
1082	Statistical methods
1083	Analytic methods
1084	Epic Clarity Data Model certification
1085	Epic Revenue Cycle certification
1086	Written communication
1087	Oral communication
1088	Technical skills
1089	User observation
1090	Workflow analysis
1091	Clinical experience
1092	Healthcare data
1093	Revenue cycle operations
1094	EHR systems
1095	Clinical teams
1096	Operational teams
1097	Senior leadership
1098	Datadriven solutions
1099	User experience
1100	Informatics foundation
1101	Digital solutions
1102	Health system solutions
1103	Civil Engineering
1104	Construction Management
1105	LargeScale Projects
1106	Healthcare Projects
1107	Commercial Projects
1108	Scheduling
1109	Quality Assurance
1110	Quality Control
1111	Document Control
1112	Site Safety
1113	BS in Construction Management or Civil Engineering
1114	5+ Years of Experience in Construction Industry
1115	Proven Track Record of Effectively Managing Job Sites
1116	Positive Attitude and Strong Management Ability
1117	Data Warehouse Architecture
1118	Data Warehouse Modeling
1119	ETL Processing
1120	Confluent Kafka
1121	Kinesis
1122	Glue
1123	Lambda
1124	Process Flow
1125	Metric Logging
1126	Error Handling
1127	ETL Architecture
1128	System Architectural Decisions
1129	Development Standards
1130	AWS Expertise
1131	Glue (Spark)
1132	S3
1133	Athena
1134	Streaming Services
1135	Java Spring Framework
1136	Spring Boot
1137	Spring Cloud
1138	Spring Data
1139	Business Requirements
1140	User Documentation
1141	Report Monitoring
1142	Test Result Documentation
1143	Mathematics
1144	Visual Software
1145	Medical Device
1146	Pharmaceutical
1147	Regulatory Industry
1148	ERP Systems
1149	Data Exploration
1150	CRM
1151	Medical Laboratory Science
1152	ASCP Certification
1153	Hematology
1154	Chemistry
1155	Immunohematology
1156	Blood Banking
1157	Microbiology
1158	Serology
1159	Coagulation
1160	Urinalysis
1161	Laboratory Safety
1162	Laboratory Equipment Operation and Maintenance
1163	Data Accuracy and Record Keeping
1164	Oral and Written Communication
1165	Mathematical Skills
1166	Reasoning Ability
1167	Patient Care
1168	Blood Borne Pathogens
1169	Laboratory Reagents
1170	Unpleasant Patient Elements
1171	Electrical and Mechanical Hazards
1172	Medical Lab Technician (MLT)
1173	Compassion
1174	Acute Care Experience
1175	Per Diem Nursing
1176	Travel Nursing
1177	Locum Tenens
1178	Interim Leadership
1179	Clinical Instructor
1180	HCA Healthcare
1181	EVIND1
1182	ML frameworks
1183	SageMaker
1184	HuggingFace
1185	Image Processing
1186	Computer Vision
1187	GPU workload optimization
1188	Model serving
1189	Scaling
1190	GPU resource management
1191	Datadriven decisionmaking
1192	Latest trends and technologies in AI/ML
1193	Bachelor's/Master's in Computer Science Electrical Engineering Computer Vision or related field
1194	Sales
1195	Prospecting
1196	Client Engagement
1197	Research
1198	Analytics
1199	Commercial Real Estate
1200	B2B Sales
1201	Consultative Selling
1202	Client Training
1203	Product Demonstrations
1204	Marketing
1205	Customer Service
1206	Strategic Thinking
1207	ClientFacing Experience
1208	Outside Sales Experience
1209	Motor Vehicle License
1210	Driver's License
1211	Driving Record
1212	Operational Motor Vehicle
1213	CoStar
1214	LoopNet
1215	S&P 500
1216	Data Warehouse Systems
1217	DB2
1218	GQL
1219	Relational Database Platforms
1220	Statistical Software (R SAS STATA)
1221	Database Management (Red Hat Qualtrics REDCap ACCESS)
1222	Data Interpretation
1223	Report Writing
1224	Data Presentation
1225	Manuscript Preparation
1226	Team Supervision
1227	ArcGIS
1228	MAXQDA
1229	AtlastTI
1230	GIC
1231	COVID19 Vaccination
1232	Affirmative Action
1233	Medical Technologist
1234	Medical Laboratory Technician
1235	Blood Bank
1236	Laboratory
1237	Clinical
1238	Test
1239	Equipment
1240	Diagnosis
1241	Treatment
1242	Disease
1243	Procedures
1244	Maintenance
1245	Shift Work
1246	Shift Differentials
1247	Sign On Bonus
1248	Relocation Assistance
1249	StateoftheArt Equipment
1250	BI
1251	Data Manipulation
1252	Data Warehouse Design
1253	Data Communication
1254	FinTech
1255	Angular JS
1256	MapReduce
1257	Mongo
1258	Agile engineering practices
1259	Data pipeline frameworks
1260	Data APIs
1261	Data delivery services
1262	Analytical models
1263	Cloud Production environments
1264	Multitier multiplatform systems
1265	Data warehousing
1266	Realtime data
1267	Streaming applications
1268	Data Center Infrastructure
1269	Server Hardware Troubleshooting
1270	Network Hardware Troubleshooting
1271	Server and Network Equipment
1272	Data Center Environments
1273	Server Provisioning
1274	Network Provisioning
1275	Break/Fix Tasks
1276	Server Hardware
1277	Network Infrastructure
1278	High Availability
1279	OnCall Rotation
1280	Edge/POP Sites
1281	Low Voltage Cabling
1282	BOMs
1283	Vendor Management
1284	Runbooks
1285	SOPs
1286	MOPs
1287	Fitness Program
1288	CalTrain Go Pass
1289	401k Program
1290	Flexible Vacation Policy
1291	Medical Coverage
1292	Dental Coverage
1293	Vision Coverage
1294	Unlimited Snacks
1295	Onsite Fitness Center
1296	Fitness Credit
1297	Catered Lunches
1298	Predictive Modeling
1299	Data visualization tools
1300	Tableau/Domo
1301	AS400
1302	ERP systems
1303	Inventory Management
1304	Forecasting
1305	Time Series Analysis
1306	Regression Analysis
1307	Machine Learning Algorithms
1308	Team Collaboration
1309	Symantec
1310	Data Protection
1311	Cloudbased infrastructure
1312	URL filtering
1313	Proxy
1314	Network DLP
1315	Scripting
1316	Technical writing
1317	Environmental Science
1318	GIS
1319	Environmental Health
1320	Toxicology
1321	Data Research
1322	Data Stewardship
1323	Program Evaluation
1324	Spatial Analysis
1325	Qualitative Analysis
1326	Revenue Cycle Modules
1327	User Observation
1328	DataDriven Solutions
1329	Informatics
1330	Strategy Documents
1331	Data Dictionaries
1332	Cancer research
1333	Oncology clinical trials
1334	Database development
1335	ICHGCP
1336	Biomarkerdriven clinical research
1337	Genomics
1338	Biomarker assays
1339	Experimental Cancer Medicine Centres (ECMC)
